artist,album,track,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Lumineers,Cleopatra,Ophelia,5NORWMFC27ywGSZxi8uquP,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,160097,4
Tigertown,Lonely Cities EP,Lonely Cities,2dU9TgwQvr3iPpmH1MEZWX,0.646,0.791,0,-5.85,1,0.0343,0.01,0.0165,0.482,0.477,117.945,218800,4
Adele,25,When We Were Young,0cj2joJcY6b4XSRfj2eZOl,0.377,0.595,3,-5.936,1,0.0489,0.303,0.0,0.095,0.264,144.464,290900,4
Foxes,All I Need (Deluxe Version),All I Need,6CUq75Si9HXehScdt2QTJQ,0.524,0.877,0,-4.178,0,0.0772,0.12,6.22e-06,0.0987,0.227,130.02,229453,4
FO&O,My Girl,My Girl,1WP6nfERzSfqCnBZKVrr99,0.616,0.894,7,-4.56,0,0.0931,0.0176,0.000115,0.195,0.58,105.027,190747,4
KLOE,Teenage Craze - EP,Teenage Craze,0YHQir43vZDV4I8M1GP1aZ,0.709,0.575,6,-8.562,0,0.0837,0.00082,0.000732,0.573,0.154,100.005,225747,4
Lucky Rose,The Way You Want Me,The Way You Want Me,2DidOK4nr9TjStykqK07OZ,0.651,0.634,11,-8.464,0,0.0301,0.21,1.63e-06,0.0694,0.343,114.108,193684,4
Allie X,CollXtion II,Old Habits Die Hard,4t5Kh63jqmLziFH9ez6UGo,0.695,0.688,1,-7.055,0,0.126,0.0627,0.0327,0.114,0.641,173.949,221675,4
Nothing But Thieves,Nothing But Thieves (Deluxe),If I Get High,3O2pB9JHreUZ9F83qSNmu8,0.441,0.57,4,-5.584,1,0.032,0.0104,0.0146,0.123,0.117,139.876,206560,4
Opia,Falling,Falling,2X6Uw1FLKAK5Hxnx6fgCk0,0.543,0.533,8,-9.726,0,0.227,0.412,0.000115,0.4,0.508,70.098,179105,4
The Ready Set,Good Enough,Good Enough,3QKrekZM625QrFJpIWTQVW,0.659,0.861,1,-6.339,1,0.0346,0.00227,0.189,0.14,0.458,125.968,193224,4
WDL,No Wings Airline,Hurricane Highlife,1BrKxvtV8HZQsJ6lo7Bw7W,0.481,0.689,4,-5.559,0,0.0308,0.0661,4.26e-05,0.125,0.0995,94.99,281917,4
Lucius,Good Grief,Something About You,4JAsQdx7gSpWCxWA35oC6J,0.387,0.872,5,-6.136,0,0.0939,0.0474,0.00757,0.182,0.579,125.031,220398,4
Gallant,Ology,Skipping Stones (feat. Jhené Aiko),60T2IIFflzLc241xUMv1VD,0.584,0.537,9,-5.646,1,0.0344,0.495,0.000189,0.397,0.4,79.982,184147,4
MØ,New Year's Eve,New Year's Eve,7gf342BtbOwdEioHSNlGbX,0.613,0.34,7,-7.936,1,0.0261,0.865,0.0,0.122,0.271,117.956,228813,4
Leo Stannard,Free Rein - EP,My Friends Got Love,4m234xWKAe85Wt02F1ZjIb,0.658,0.567,1,-7.4,1,0.0282,0.00178,0.0615,0.106,0.801,94.978,236547,4
Francis,Marathon,Horses,6pJOJhClIedA8imtjkXcjJ,0.622,0.709,2,-6.154,1,0.0304,0.676,0.000639,0.184,0.374,108.003,174677,4
Greyson Chance,Hit & Run,Hit & Run,4r7raHoBR2YR8F6qJ1dpIO,0.382,0.741,6,-3.351,0,0.0467,0.294,0.0,0.118,0.518,121.613,229733,4
Paperwhite,Unstoppable,Unstoppable,2plMAUwAlqmUy1rAXFdK7w,0.683,0.676,11,-6.944,0,0.0303,0.021,0.000606,0.489,0.556,124.003,199640,4
Animal Collective,Painting With,Lying in the Grass,1iTkK3Tt6FXjNx5obJrZCq,0.735,0.864,10,-6.412,0,0.0587,0.0233,2.83e-05,0.217,0.478,119.983,214240,4
Nada Surf,You Know Who You Are,Cold to See Clear,1oXxN7HFLqRfAkfpneWezr,0.479,0.71,4,-7.829,1,0.0286,0.00893,3.57e-05,0.142,0.329,134.946,245931,4
Radical Face,The Family Tree: The Leaves,Secrets (Cellar Door),1L4GiwqpSuuLKORJWHVNxc,0.553,0.447,5,-11.243,1,0.0281,0.278,0.128,0.115,0.305,150.04,265693,4
Run River North,Drinking from a Salt Pond,29,7AIe2twHZwBsYe76lJtUee,0.436,0.911,7,-3.926,0,0.0712,0.00029,0.0,0.245,0.257,156.951,207120,4
Photo Ops,Vacation,I'd Be Dead,0GhhRD49rh6dsW0upV0wji,0.424,0.816,0,-6.422,1,0.0299,0.445,0.000422,0.243,0.47,149.967,201242,4
Dan + Shay,From the Ground Up,From the Ground Up - Single Version,0AdjJ2SaOeb5bPJ67nDbsW,0.524,0.586,9,-5.431,1,0.0262,0.356,0.0,0.121,0.285,101.214,254293,4
Blondfire,True Confessions,True Confessions,5Th9qF4aR9PJRrSyukyGLx,0.46,0.978,2,-2.963,0,0.0519,0.011,0.653,0.28,0.306,132.969,217709,4
Hembree,Can't Run Forever,Can't Run Forever,0GmIC9EnLlmKXkiQdujlGs,0.633,0.803,2,-7.017,0,0.0307,0.451,0.193,0.117,0.744,100.98,213861,4
Kill J,Trickle Trickle,Trickle Trickle,3hFrBaq19Oo9YbjUoEJun9,0.563,0.615,5,-8.53,1,0.0708,0.261,0.0177,0.191,0.375,119.945,214750,4
"Earth, Wind & Fire",Raise!,Let's Groove,3koCCeSaVUyrRo3N2gHrd8,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320,4
"Earth, Wind & Fire",I Am,Boogie Wonderland,6ztstiyZL6FXzh4aG46ZPD,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,288293,4
Rihanna,ANTI (Deluxe),Consideration,6t90Z9XkdsHD8xMxro6KRP,0.883,0.584,7,-2.102,0,0.0465,0.0392,4.39e-06,0.0869,0.784,144.975,161067,4
Rihanna,ANTI (Deluxe),Kiss It Better,0UHB9METy4VCXNgkcGqHqS,0.619,0.806,3,-4.8,0,0.0483,0.272,0.0,0.0671,0.877,95.0,253080,4
Rihanna,ANTI (Deluxe),Work,72TFWvU3wUYdUuxejTTIzt,0.725,0.534,11,-6.238,1,0.0946,0.0752,0.0,0.0919,0.558,91.974,219320,4
Rihanna,ANTI (Deluxe),Desperado,4mCf3vQf7z0Yseo0RxAi3V,0.685,0.61,0,-5.221,0,0.0439,0.323,0.0,0.102,0.323,94.384,186467,3
Rihanna,ANTI (Deluxe),Woo,3HQcsqRjRdruUjkbDSgmVF,0.42,0.466,9,-5.298,1,0.0326,0.0546,0.00389,0.298,0.185,115.004,235587,4
Rihanna,ANTI (Deluxe),Needed Me,4pAl7FkDMNBsjykPXo91B3,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,191600,4
Rihanna,ANTI (Deluxe),"Yeah, I Said It",7eDYNlBwRMeFOZHOZ95dZ1,0.509,0.38,7,-7.479,1,0.158,0.547,1.21e-06,0.36,0.249,127.88,133080,4
Rihanna,ANTI (Deluxe),Same Ol’ Mistakes,6RtzmszGXs32TRhv5zTKNM,0.44,0.803,8,-5.415,1,0.0443,0.199,0.00282,0.0591,0.501,151.777,397093,4
Rihanna,ANTI (Deluxe),Never Ending,7Jd5LgnSRQElW6FsTWVPzE,0.53,0.391,10,-9.096,1,0.0286,0.751,6.97e-05,0.187,0.521,82.215,202507,4
Rihanna,ANTI (Deluxe),Love On The Brain,5oO3drDxtziYU2H1X23ZIp,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,224000,3
Rihanna,ANTI (Deluxe),Higher,1KnJwhZU3DIBe54Q4HPpIl,0.292,0.567,3,-4.191,1,0.0416,0.112,1.01e-06,0.119,0.392,153.199,120627,3
Rihanna,ANTI (Deluxe),Close To You,6D2tzc8kRnZb7P1lNwMBLH,0.494,0.17,10,-11.368,1,0.0337,0.895,0.0,0.139,0.145,80.098,223213,4
Miike Snow,Miike Snow,Animal,4XTTwW06rMgud7yS1nySZf,0.763,0.721,1,-6.767,0,0.0986,0.0117,7.69e-06,0.0752,0.657,118.049,263880,4
Q Lazzarus & Garvey,CLERKS II (Music From The Motion Picture),"Goodbye, Horses",71coiXrc4ti5HqZAh80vOC,0.699,0.515,5,-9.497,1,0.0307,0.00381,0.804,0.109,0.332,124.707,387093,4
Cardiknox,Portrait,Wild Child,2GUii4m32oAO1MAI2KdDHK,0.637,0.785,6,-5.336,0,0.0299,0.00259,0.00288,0.0605,0.822,134.955,215707,4
Ra Ra Riot,Need Your Light,Foreign Lovers,2lbedOzKrTetD4h47iFcyk,0.606,0.876,2,-3.815,1,0.147,0.00922,0.0,0.346,0.614,167.911,130067,4
The Jezabels,Synthia,Come Alive,52EIQpBMSXH7s7hj9oqvRF,0.376,0.707,4,-8.003,0,0.104,0.22,0.76,0.111,0.0449,91.024,347053,4
Wildcat! Wildcat!,Straight to the Top,Straight to the Top,7mzQsOqcqAcatWPA0De6ym,0.486,0.876,0,-4.289,1,0.0386,0.144,0.011,0.11,0.311,163.997,229009,4
Cape Cub,Closer,Closer,4LyFzcmDT5isY1dnfyIVeu,0.483,0.627,10,-9.644,1,0.0389,0.235,0.00752,0.249,0.125,143.875,209698,4
Jack Garratt,Phase (Deluxe),Fire,1ZYh7sWLNwtzqNX19AZY5Q,0.326,0.574,8,-9.101,0,0.322,0.0171,0.000643,0.331,0.379,79.421,258320,3
Clairity,Don't Panic,Don't Panic,5vk2IwyJvPXt5FituUtR76,0.153,0.364,2,-11.453,0,0.0439,0.486,0.0795,0.143,0.139,84.672,273176,4
Sam Beam,Love Letter for Fire,Every Songbird Says,0PpZijLwoROXHsCgvBoNcf,0.473,0.453,6,-10.385,1,0.0497,0.763,1.3e-06,0.0943,0.696,86.772,203747,3
Sturgill Simpson,VINYL: Music From The HBO® Original Series - Vol. 1,Sugar Daddy - Theme from Vinyl,1LWW4PgKyEVOdWRl4JKM4Q,0.26,0.929,0,-5.841,1,0.143,0.343,0.0356,0.139,0.358,81.971,225267,4
Gwen Stefani,This Is What The Truth Feels Like,Make Me Like You,5ViT05yjdBQgPOwckL762B,0.741,0.714,5,-4.739,0,0.0476,0.0403,1.58e-05,0.127,0.799,118.036,216947,4
LANCO,Hallelujah Nights,Long Live Tonight,7s4dkWBVbUyMYKlDw9DiTC,0.601,0.821,11,-5.672,1,0.043,0.0662,0.0,0.111,0.617,111.032,224667,4
Santigold,99 Cents,Banshee,15xNv1IPTf8fnIXkguH74p,0.385,0.927,1,-5.219,1,0.103,0.00173,0.00233,0.342,0.867,135.96,225547,4
The Frights,You Are Going to Hate This,Kids,60Cb8X0ARzviyHq4QZMoK5,0.443,0.906,9,-5.088,1,0.0724,0.0034,0.00918,0.158,0.633,168.922,174405,4
Florrie,Real Love,Real Love,6vuwpMl38xfscWpoxquFiW,0.547,0.697,5,-5.999,1,0.079,0.0108,0.0,0.119,0.425,97.984,227907,4
Midi Matilda,Tidal Wave,Tidal Wave,4nEkguujK1XL3rUT3ZbMOM,0.574,0.859,11,-5.419,0,0.0429,0.00986,0.000152,0.124,0.449,120.01,234041,4
Ben Abraham,I Belong to You,I Belong to You,7izuSSo1u9ByGpFABvYJcq,0.422,0.309,7,-13.495,1,0.0315,0.849,0.00374,0.136,0.443,84.615,181627,4
Mastiksoul,On Purpose (feat. GC) - Single,On Purpose,4avDDXt6sH215a5r4bBFZb,0.537,0.859,0,-4.982,0,0.0489,0.191,1.79e-06,0.0767,0.504,95.067,210158,4
Giovanni James,Whutcha Want,Whutcha Want,5ivS4rLLSrGC4jM8I2dWzs,0.689,0.952,0,-3.254,1,0.346,0.138,0.0,0.42,0.698,135.58,151099,4
Basia Bulat,Good Advice,Fool,7yCdFM1GLDi31wFrgE1d1t,0.653,0.749,7,-5.208,1,0.0249,0.263,0.00105,0.418,0.563,109.997,163120,4
Ruelle,I Get to Love You,I Get to Love You,3CV4lFELdziNM1OnHU8nwz,0.335,0.251,2,-6.225,1,0.0317,0.924,0.0,0.111,0.0863,153.298,239362,3
Tundran,Still Afraid / Last Drive,Still Afraid,0ZLMP1VMQQDt2646atCwds,0.642,0.746,8,-6.191,1,0.0323,0.0393,0.128,0.0663,0.362,108.984,304827,4
The Wild Feathers,Lonely Is A Lifetime,Lonely Is a Lifetime,3fpBOcwPGvYIiJDpOB14c3,0.458,0.137,9,-15.291,0,0.0419,0.568,0.0,0.114,0.168,131.336,166080,5
Astronomyy,The Secret,The Secret,0PV0dhCMIhC7pF6sPv8MKT,0.709,0.563,1,-9.172,0,0.029,0.0136,0.000667,0.101,0.545,100.987,239867,4
Lovespeake,DNA,DNA,6PLtDuzJeweLpgfwu1pnk1,0.719,0.651,1,-10.81,1,0.0497,0.0538,0.201,0.102,0.195,120.493,231827,4
Annabel Jones,IOU,IOU,37hr304EeFefwdyxmS8YXh,0.659,0.719,7,-6.668,1,0.0902,0.05,2.55e-06,0.129,0.355,187.97,153702,4
BUNT.,Old Guitar,Old Guitar,38tGRxFP5NkWbtOWsXbQ0L,0.486,0.854,0,-4.859,1,0.0569,0.0739,1.07e-05,0.358,0.469,123.942,208548,4
Lissie,My Wild West,Shroud,79OBo9CVegPcHy4clRo62w,0.51,0.44,0,-8.24,1,0.0258,0.209,3.65e-06,0.259,0.234,75.985,196730,4
Nicole Millar,Tremble,Tremble,19nduPc9nAYRcQkK4xRUrf,0.685,0.736,4,-3.578,0,0.0388,0.0968,0.222,0.0807,0.343,149.963,197700,4
Dua Lipa,Last Dance,Last Dance,5VgVIhrH8TblQ5QRw7ILkn,0.589,0.578,8,-5.626,0,0.0454,0.0232,0.0,0.0984,0.38,135.77,228976,4
Juice Newton,Juice,Angel Of The Morning,11y8GSP2ASv8S9n0FiiDva,0.452,0.313,8,-9.309,1,0.026,0.433,2.6e-05,0.0772,0.344,75.806,250440,4
Salt-N-Pepa,Very Necessary,Shoop,0Pu71wxadDlB8fJXfjIjeJ,0.939,0.675,0,-7.232,1,0.211,0.0915,0.0,0.0565,0.795,96.918,248573,4
Neil Sedaka,Rock with Sedaka (Expanded Edition),Calendar Girl,7Gpx2fNJiilvrf9Ss8qbit,0.703,0.649,8,-7.727,0,0.0312,0.397,0.0,0.209,0.862,122.719,159693,4
Teamheadkick,Deadpool (Original Motion Picture Soundtrack),Deadpool Rap - Film Mix,1JOSD55tUYcs3kF4FV3xLQ,0.817,0.888,1,-4.821,1,0.288,0.104,0.0,0.417,0.855,120.023,205577,4
DMX,The Definition of X: Pick Of The Litter,X Gon' Give It To Ya,1zzxoZVylsna2BQB65Ppcb,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027,217587,4
Mott The Hoople,Mott (Expanded Edition),All the Way from Memphis,5lP2EYWk8LFUkM0grPWUFT,0.522,0.833,1,-8.688,1,0.0401,0.0427,0.00454,0.605,0.558,137.127,302560,4
Ty Taylor,VINYL: Music From The HBO® Original Series - Vol. 1,Cha Cha Twist,5QQwIaqJYBxMH9xqGFzMfF,0.71,0.852,0,-5.151,0,0.0293,0.146,0.0,0.0897,0.914,127.066,158453,4
Sean Paul,Tomahawk Technique,Got 2 Luv U (feat. Alexis Jordan),62pSYErgGri97X9aIyBzHm,0.605,0.793,7,-3.084,0,0.297,0.0825,0.0,0.124,0.647,184.032,196640,4
Pitbull,Bad Man,Bad Man,7hpPwrcPE3Ah3qSiQYFUTE,0.636,0.971,2,-4.304,1,0.0639,0.0086,4.8e-06,0.196,0.53,120.025,214727,4
Eric Prydz,Generate (Radio Edit),Generate - Radio Edit,5LT8hO0Z9Y1nlCJ7nfuSJi,0.603,0.826,11,-5.072,1,0.0274,0.00755,5.54e-05,0.119,0.598,127.026,165076,4
Little Big Town,Pain Killer,Girl Crush,11qh54D0PKkBwelpDxxiEU,0.5,0.225,0,-10.22,1,0.0302,0.842,0.0,0.112,0.355,173.788,193320,3
Alabama Shakes,Sound & Color,Sound & Color,4jVQBszyxsa0GeRSe5ToVC,0.547,0.43,2,-7.393,1,0.0667,0.848,0.613,0.0825,0.175,114.729,182467,4
Alabama Shakes,Sound & Color,Gimme All Your Love,3DH42U4bDllHWK6tQc4OQF,0.382,0.57,6,-5.261,0,0.044,0.218,0.194,0.316,0.188,100.754,243461,3
Alabama Shakes,Sound & Color,Future People,6CFJ419mkYr35Vs5D75LzV,0.381,0.768,6,-4.314,0,0.0526,0.0997,0.125,0.0954,0.51,154.213,201612,4
Owl City,Mobile Orchestra,Verge,3bWLBVZz9Vur3OLy05SpfF,0.544,0.744,2,-6.892,1,0.0334,0.000181,1.17e-06,0.114,0.206,127.98,213027,4
Zedd,True Colors,Papercut,62hWYjPL57rbUd5rhvI3Of,0.647,0.92,5,-4.556,0,0.041,0.046,0.0058,0.357,0.242,125.997,443293,4
Us The Duo,No Matter Where You Are,Make You Mine,1ZWFt1f25IDDHsyx2rlcSV,0.595,0.576,5,-6.346,1,0.0316,0.0578,4.86e-06,0.111,0.472,142.865,216240,4
Simple Plan,I Don't Wanna Be Sad,I Don't Wanna Be Sad,5LMV8WGnIsiLYkCZfk6Ldq,0.586,0.91,2,-3.646,1,0.0507,0.00129,0.0,0.304,0.5,105.952,193349,4
Kacy Hill,Bloo,Arm's Length,7jdBp6gDHrCK0YVKuqrU8d,0.631,0.537,1,-6.896,1,0.0242,0.448,2.22e-06,0.0819,0.379,96.969,200947,4
RHODES,Wishes,Somebody,54RmvYDszjVDaANBKHeqyt,0.421,0.62,4,-6.001,1,0.0329,0.0763,0.0,0.108,0.181,140.084,257040,4
RIVVRS,I Will Follow You,I Will Follow You,38O355TmeaSAqpDXkE84Iu,0.607,0.783,0,-6.295,1,0.0272,0.0144,7.19e-06,0.176,0.42,94.995,207129,3
James Bay,Chaos And The Calm,Craving,7jbyvAZyXEuASkugCckjBR,0.683,0.913,5,-5.352,1,0.035,0.0102,5.19e-05,0.274,0.854,125.039,228120,4
Disclosure,Nocturnal (Disclosure V.I.P.),Nocturnal - Disclosure V.I.P.,5nQzA2S3IvhFyujvh4wCwP,0.715,0.796,9,-6.784,0,0.0546,0.0695,0.00343,0.352,0.18,123.02,388085,4
Flume,Lockjaw,Drop The Game,06WnUZymWyJamDivTWqJZA,0.559,0.67,7,-4.985,1,0.0474,0.592,0.000184,0.171,0.438,78.957,221895,4
Flume,Flume,Sleepless,7ImGFwpCuTLxsK9QvfMwcX,0.53,0.688,9,-7.482,0,0.169,0.0335,4.91e-05,0.0886,0.389,175.13,209377,4
Flume,Lockjaw,This Song Is Not About A Girl,40H5MGB07FCEmrgHBlmLDU,0.732,0.668,2,-6.978,0,0.126,0.143,0.207,0.176,0.598,140.004,254038,4
Sawyer Fredericks,Sawyer Fredericks,Take It All,3MvtKHf2NTqJOOrdBo9nLq,0.654,0.886,5,-5.29,1,0.0416,0.00689,0.0,0.136,0.626,94.014,220973,4
WALK THE MOON,TALKING IS HARD,Work This Body,76EeScTnI2sCjDY0SfEoSb,0.421,0.831,4,-5.128,1,0.107,0.0283,0.0,0.464,0.488,134.027,175907,4
VITAMIN,New Moons: Vol. V Pt. 1,We Breathe Fire,0kbtb456VtIfBpaYdAvRYP,0.494,0.792,4,-4.546,1,0.035,0.000542,0.00016,0.106,0.208,121.003,242787,4
Elton John,Wonderful Crazy Night (Deluxe),Wonderful Crazy Night,4SKakzuaSX2PMXIHGUDNyo,0.715,0.798,5,-5.281,1,0.0304,0.0864,0.00415,0.22,0.89,111.772,193793,4
Elton John,Wonderful Crazy Night (Deluxe),In The Name Of You,7Fxo33DpdxrWBvlP7qW28m,0.486,0.818,8,-4.794,1,0.0344,0.114,0.0519,0.0789,0.584,81.278,273543,4
Elton John,Wonderful Crazy Night (Deluxe),Claw Hammer,3eLc9F6UeyvjQ6QUwEocZg,0.576,0.792,0,-6.086,1,0.0287,0.031,0.12,0.318,0.704,84.958,262515,4
Elton John,Wonderful Crazy Night (Deluxe),Blue Wonderful,5goFdE9LTs1r0JgVvOdMZ8,0.463,0.55,4,-6.442,1,0.0344,0.559,0.00167,0.0894,0.493,83.267,217681,4
Elton John,Wonderful Crazy Night (Deluxe),I've Got 2 Wings,4FWVE1N9ikA1dTcUwT9T8q,0.576,0.66,0,-6.799,1,0.0328,0.186,0.0534,0.128,0.584,86.407,275272,4
Elton John,Wonderful Crazy Night (Deluxe),A Good Heart,0tHSq0Q3IdId4dodh4JxkQ,0.474,0.649,3,-6.767,1,0.0261,0.0121,0.242,0.114,0.188,135.297,290535,4
Elton John,Wonderful Crazy Night (Deluxe),Guilty Pleasure,7MMa1gv3FmDBl9hKQFs6M5,0.529,0.936,7,-5.286,1,0.0452,0.00204,0.265,0.379,0.701,80.966,218807,4
Elton John,Wonderful Crazy Night (Deluxe),Tambourine,3Y6uVmU5ndnKlbGdyuwP4t,0.498,0.663,7,-6.104,1,0.0261,0.101,0.00321,0.114,0.569,84.83,257274,4
Elton John,Wonderful Crazy Night (Deluxe),The Open Chord,4iW54UaPU3ozjqsCTvuuZt,0.58,0.685,0,-6.746,1,0.0342,0.474,0.00116,0.154,0.637,81.975,244481,4
Elton John,Wonderful Crazy Night (Deluxe),Free And Easy,6gIyWUbkKac0xYSj9sYmYc,0.581,0.501,7,-7.427,0,0.0277,0.199,0.000356,0.144,0.425,125.881,235679,4
Elton John,Wonderful Crazy Night (Deluxe),England And America,3OK6xt63jBRG8M0M4fojF2,0.382,0.871,10,-5.621,1,0.0333,0.0191,0.0374,0.0759,0.816,153.158,231225,4
MUNA,Winterbreak,Winterbreak,7EsTdhH4PD6MugpLXJGZLW,0.553,0.671,2,-7.34,1,0.0508,0.231,0.0,0.0938,0.458,96.977,296533,4
The 1975,Somebody Else,Somebody Else,1JIWyERVO0MWPBC5W7OF2Q,0.618,0.793,0,-5.711,1,0.0601,0.204,0.0154,0.126,0.459,101.015,347526,4
Catfish and the Bottlemen,The Ride,Soundcheck,60W7Co2AoP5VVG5Gwu6p5P,0.602,0.755,2,-5.791,1,0.0397,0.000995,0.0799,0.412,0.646,135.042,261560,4
Tove Lo,Allegiant (Original Motion Picture Score),Scars,3bCkiGVvpYwekCsaIb5OU1,0.695,0.357,5,-10.272,1,0.0379,0.427,0.0,0.0975,0.22,116.984,220160,4
Bear Hands,You'll Pay For This,2AM,122rdEeuIt4R6H7Lwi4UyE,0.602,0.699,10,-5.097,0,0.0264,0.00208,0.00143,0.12,0.283,88.026,295680,4
FKA twigs,Good to Love,Good to Love,4zTHYH48021nSS4boLgVUG,0.441,0.424,5,-7.218,1,0.0366,0.77,3.92e-06,0.104,0.502,120.744,251211,5
Ciaran Lavery,Return to Form,Return to Form - Radio Edit,0sQjPceolZXWE6DK5Szxuc,0.637,0.682,5,-7.984,1,0.0405,0.331,0.00166,0.182,0.48,83.509,193517,4
Lils,I Don't Know Why,I Don't Know Why,25DRLjSfHF2aJtw8fjDIOa,0.492,0.552,9,-7.626,0,0.0804,0.0986,0.000544,0.129,0.605,74.964,244715,1
The Knocks,Best For Last (feat. Walk The Moon),Best For Last (feat. Walk The Moon),4iTjAIDYP6qiMW8NjPoSyg,0.619,0.809,6,-7.964,0,0.0336,0.000935,0.000168,0.0661,0.535,133.932,267453,4
Vaults,Caught In Still Life,Midnight River,0UqWsZG0Q20wZ38731KYZh,0.641,0.545,8,-7.568,1,0.0238,0.0606,0.000935,0.111,0.343,97.951,201880,4
Miike Snow,The Heart Of Me,The Heart Of Me,2viMDaupYOGfJc9GJMicFh,0.58,0.832,5,-3.934,1,0.0313,0.208,0.00103,0.299,0.558,101.972,239880,4
Ra Ra Riot,Need Your Light,I Need Your Light (feat. Rostam),4UvVhLJH6rUWb080Iv3DOa,0.574,0.827,4,-5.357,1,0.0484,0.143,0.0124,0.178,0.348,125.96,264253,4
Animal Collective,Painting With,Golden Gal,1LkQj60h7ZaRuy0BCeUe6a,0.701,0.796,0,-6.281,1,0.137,0.288,0.0,0.378,0.688,101.641,281707,4
Will Joseph Cook,Girls Like Me,Girls Like Me,31PrpdoIJt82Oi4hEycYeA,0.757,0.72,11,-5.644,1,0.0425,0.0698,1.45e-05,0.112,0.96,121.968,192414,4
Valerie Broussard,A Little Wicked,A Little Wicked,0ZPMI8Gnz7p6omBBIOwiO9,0.59,0.403,11,-10.806,0,0.0569,0.436,0.0,0.0662,0.321,77.032,210274,4
Sivik,Winter Collection,Time,2NQgQTugD3O43qhOGFEIjc,0.656,0.619,9,-4.211,0,0.0827,0.0207,7.69e-06,0.0886,0.424,89.967,219196,4
Travis Barker,Out of Control,Out of Control,44soagx5F9Emx2bmarVr2T,0.58,0.896,11,-5.584,0,0.238,0.00907,4.49e-05,0.142,0.421,89.281,238358,4
Foreign Air,In the Shadows,In the Shadows,60PstWaFCavTuNvqwlU3QV,0.603,0.756,0,-8.005,1,0.035,0.156,0.866,0.11,0.146,116.049,233927,4
Weezer,Weezer (White Album),L.A. Girlz,0U6QHjAcifZLGrVsFObjEK,0.417,0.799,8,-4.705,1,0.0386,0.00257,2.13e-06,0.0674,0.416,117.215,209893,1
Rams,RAMS,Take It Back,1Nub6Or1EjRcXGavOb1ikr,0.557,0.842,11,-8.872,1,0.0365,0.0064,0.00255,0.106,0.25,113.001,284602,4
Pet Shop Boys,The Pop Kids,The Pop Kids - Radio Edit,3VZlwT2gYThekmjl4LPxER,0.583,0.808,7,-8.688,0,0.042,0.0411,0.02,0.135,0.614,125.992,219045,4
Hellberg,Synchronize,Synchronize,0Pa6MaznYF04lqF7Ruegtv,0.515,0.655,10,-4.891,1,0.0445,0.157,0.0,0.101,0.107,126.085,250758,4
Rebecca & Fiona,Beauty Is Pain,Candy Love,5ihD3DXNU91jEuuhM5lmtp,0.502,0.854,1,-4.867,1,0.046,0.00278,0.0,0.0801,0.365,160.045,187357,4
Relient K,Look on Up,Look on Up,5b5ahPclOXw0uVsJK05SuB,0.48,0.383,11,-10.156,1,0.0321,0.202,9.59e-06,0.125,0.265,169.869,244871,4
Édith Piaf,Edith Piaf - The Best Of,"Non, je ne regrette rien",0D4gIeyrMtxOAvCWsTHN9x,0.385,0.354,7,-6.595,1,0.029,0.858,3.11e-06,0.168,0.437,87.061,142280,4
Édith Piaf,Edith Piaf - The Best Of,La Vie en rose,3lAun9V0YdTlCSIEXPvfsY,0.368,0.278,0,-8.596,0,0.0302,0.981,0.0,0.272,0.338,82.305,187733,4
Grimes,"Girls, Vol. 3 (Music From The HBO Original Series)",Entropy,6tUHBt3dTmP5l51YxhVwRW,0.757,0.606,8,-7.126,1,0.0394,0.304,0.226,0.0894,0.768,109.526,180893,4
St. Vincent,Teenage Talk,Teenage Talk,0iKsBFbuFNA9eSGvhuncCJ,0.536,0.637,2,-8.993,1,0.0334,0.666,0.251,0.0927,0.315,124.944,248464,4
BØRNS,"Girls, Vol. 3 (Music From The HBO Original Series)",Past Lives,2X7dtG0wcfGoqXho5vgxr9,0.745,0.663,4,-7.385,1,0.0855,0.0744,0.000678,0.083,0.422,109.988,270787,4
Ellie Goulding,"Girls, Vol. 3 (Music From The HBO Original Series)",Here's To Us,7nugvFppp4iogs6mwv6AJc,0.618,0.76,5,-7.299,0,0.0424,0.105,0.000173,0.0947,0.254,111.984,229400,4
Casey Veggies,"Girls, Vol. 3 (Music From The HBO Original Series)",Tied Up,4vqI0Ob9Zg8oDH3kQgccbv,0.637,0.67,0,-6.223,1,0.213,0.187,0.0,0.358,0.4,94.955,192293,4
Matrimony,"Girls, Vol. 3 (Music From The HBO Original Series)",Giant,0YPxpnkjzsR351hlnwSj6x,0.585,0.444,11,-7.536,0,0.0298,0.662,0.0,0.117,0.417,124.662,229653,4
Christine and the Queens,Chaleur Humaine,iT,3qth4Wzm1QBGxkusVF8BaN,0.568,0.573,0,-7.681,1,0.06,0.315,1.2e-05,0.086,0.655,179.929,218159,4
